;UserId;Phone;RegistrationDate
0;0d4ba6e3-1106-4d52-9214-ef72b63ccf13;89984656367;2023-01-08
1;21d61241-9e6b-4001-9ec9-622fbe522a76;79978559553;2023-01-20
2;c7eb4f3b-5f84-4d27-a87d-620486eb6ef6;9976631985;2023-01-19
3;6ca62195-469b-4c43-8049-83abbafbe1a5;79973152451;2023-01-08
4;8b2ff5cd-bf2c-4482-b63a-044c2981a8dd;9966895948;2023-01-01
5;f12ae6c5-62b3-4950-b2e5-d3dfcf3227f8;89966504327;2023-01-21
6;e32201da-eb05-49b4-956e-c4f509c356c9;79961787127;2023-01-14
7;e403252f-a76e-4c1d-bc6b-1abca9b62814;89960707593;2023-01-31
8;8f7ceda3-1c88-409f-8782-8e260a07245a;79958588730;2023-01-25
9;798a8ca8-5f04-485c-b5b9-cc2f55c66205;79958174760;2023-01-05
10;e603833a-2ac6-44b0-900f-cd850a6ec944;89953226678;2023-01-07
11;c5f7ff22-041b-45e0-903f-eff55cd09345;89949800600;2023-01-07
12;417c18e1-75a0-4b8c-bb20-4308114bbf32;9949737493;2023-01-16
13;d4e41fc4-485b-4cf9-9872-5ebb7ea4312e;79944143420;2023-01-09
14;50502204-3039-42ba-87f0-3a7ad0aa4360;+79938901254;2023-01-25
15;c470990d-1001-4c28-ae45-8c25910d6591;+79936263556;2023-01-27
16;3dd8e77e-e859-4916-8618-8adfbdb39332;79935742054;2023-01-22
17;15ad62d7-d706-4411-9958-7b33edc740fa;9935581469;2023-01-21
18;44801d1b-1d3e-4e57-9919-1836d7a26060;+79930067761;2023-01-07
19;cb84e957-6e3a-4eec-9a7c-1c56213eb1d9;+79914932985;2023-01-23
20;8194de1f-b5cc-4a8c-b65e-6071eb44e73d;89902962568;2023-01-27
21;f8c5d27b-61af-43d3-be4b-b2179c2db8e7;89892411642;2023-01-08
22;698c0464-0a96-4e6a-930e-3207287f2da3;89890992606;2023-01-15
23;b47d06bf-a39c-4afe-a761-bb58a0d7aac0;9889751129;2023-01-05
24;e8a885c2-80bd-433b-a59e-61cd7ea1d3bf;89885096659;2023-01-19
25;a9c2b4db-2bd4-418a-b01a-ef95e0134b93;79883302868;2023-01-11
26;791892d8-3f70-421a-9c6e-dbf678135192;89865790202;2023-01-13
27;4bb916ce-5016-4eee-b2f3-0e406389a37f;89863175254;2023-01-18
28;2236d9b4-52a9-4532-a366-86d938d353a0;9862551481;2023-01-10
29;80f4cbbe-802d-44fc-83c2-42413a8c0e58;+79852978256;2023-01-27
30;9f10be07-b069-4942-be30-5b13962bd914;+79847703870;2023-01-20
31;7ac793ca-e547-4efd-bda8-5ce0f932f033;9843734026;2023-01-01
32;ce43f77a-4974-4184-8b72-55bc8e19df3c;79839014190;2023-01-19
33;c618b714-92ab-4d81-9622-ded1fb3d3b23;9833571621;2023-01-05
34;a965f496-43ea-4d5a-9986-d9760b89f543;89820328998;2023-01-10
35;74fd9ead-97ae-426d-bf66-e0909153d97a;79804875550;2023-01-28
36;ccd20a77-e9e2-4efa-9e03-e846f100ca0d;89802530868;2023-01-22
37;be311117-f314-43f5-9636-736188462b87;9797209304;2023-01-25
38;b6d19a85-8ef4-483a-b9e2-8babc7ad4cfb;89790636664;2023-01-14
39;4a752b39-3349-40b6-9eaa-7c0d48be094d;79790067479;2023-01-10
40;8584aad3-43c9-4dce-b67e-c75a3a7ea9e0;79788605536;2023-01-27
41;0c5eb19a-167d-404c-8a42-c9520594d9fd;+79785046777;2023-01-21
42;aef1f786-6d39-4f64-978e-1baa81d451cb;89781369365;2023-01-03
43;94af974c-7159-4832-ae6c-6f8c55259535;9771825832;2023-01-24
44;f9e9ce29-6d38-4ed0-80bc-7080a35dc072;79771105992;2023-01-29
45;b99c2c33-8d1c-4b8f-b9c5-3e7c17a1604a;+79769201746;2023-01-06
46;399c526e-06f0-4ffd-bd89-52b997e7ab58;79755556493;2023-01-27
47;4303adc1-c41d-4324-aeb9-f1baf03731b6;9750290806;2023-01-14
48;ffb6fc26-1cdf-4ca7-987b-0e5222a8894f;89747193398;2023-01-02
49;40487a1e-411a-423f-acb7-595af5d2515c;+79730248797;2023-01-09
50;d0dc7cc7-2b85-407f-a6e0-61911e00b1b3;9729163788;2023-01-08
51;aa29cdf1-e6f5-493d-8c39-2b75d4d3b0bd;+79726934662;2023-02-01
52;863c33f4-41fc-456e-9c8b-90c80cdbd78f;79725090624;2023-01-01
53;f53d7003-bd8e-4c77-9dab-7bf202941013;79720392365;2023-01-29
54;0b0ee786-44a5-4d86-96d3-89aab5c51627;+79712799469;2023-01-15
55;f3fd4e72-137a-46a3-8b2e-ef826523c332;9709640237;2023-01-23
56;10d87794-2c4e-418b-8961-abc5ffafb76f;7970934287;2023-01-02
57;9327dc25-f0da-4ce7-aa6c-bfd1e7336040;89698469636;2023-01-03
58;72332af3-78fe-48bc-8117-84e6fe7c5a93;79697739841;2023-01-19
59;6fc1ca69-77f3-47eb-b5e8-d790d127f6ff;89692071264;2023-01-21
60;091bc4be-1810-456a-aacc-207d220d46f3;89679110445;2023-01-14
61;f8fc3dec-ec11-4415-a8ba-3195ef3794e5;89677338436;2023-01-10
62;534c70b3-4cb4-46bd-a23f-9e115e46f902;9675413008;2023-01-03
63;3f29784e-4d75-43bf-901d-d1d73facf900;+79673122153;2023-01-16
64;28d72ef5-16d6-45e5-b99b-a9dcb462194e;79669315404;2023-01-11
65;c6f751ad-eaf4-4a0a-89f2-c37d3417dd24;+79669012442;2023-01-05
66;19a2e3de-7b5c-4431-a1ba-a568a8e3df90;+79655088046;2023-01-22
67;9e8cf4eb-8103-41c6-bcf1-d70d332f1f1e;+79649601316;2023-01-09
68;bbefb36e-d5f1-4421-914d-ca8a68ca1bd0;8964603058;2023-01-23
69;cf8b3664-0866-44d5-b02d-c57b1aa0f0b4;89633247291;2023-01-05
70;3cbd0904-b29d-4eb5-9662-a7e24345dd87;+79631298195;2023-01-11
71;703bc0f7-4c39-4bc9-a389-1f99c4fca4fd;9630428859;2023-01-16
72;0db7a43e-f47b-4ee9-9f70-e701563379b6;89621413732;2023-01-06
73;a97ee395-c2c8-4fef-85ad-e4b534aadcb9;79610410348;2023-01-14
74;3fd4ad57-0931-4a97-ac2b-43a79d874ffa;89607615740;2023-01-13
75;7bbb65b4-f0b3-4411-8f1a-97f98f31bc40;9604180241;2023-01-08
76;6231b7c3-5a2e-46a5-8dbf-f636c77db96e;9601623871;2023-01-22
77;ae3db1fa-f73c-414c-917d-ab39375f8377;9600648076;2023-01-20
78;ee6e11b2-0d57-4e5f-ae4e-7293cc9e0d44;79599428028;2023-01-30
79;e1ce67b0-d6e9-4ac3-9903-4fd5ba08b043;9596710418;2023-01-19
80;085915cd-1951-4730-b55f-9aa06e3d191c;9595521771;2023-01-06
81;9a9ee171-b0f1-400c-98a0-a7a011ffeca4;79588432633;2023-01-30
82;73097c0e-e20a-4029-bd5b-53013589d848;+79556512991;2023-01-12
83;e5365909-0cb4-4d59-bb70-549bab09c725;8955059616;2023-01-20
84;aca3d141-f124-4f33-9550-5a751ed8d8ea;+79549297666;2023-01-10
85;80f1509e-6220-4d64-a731-ea581aa369c9;+79545386579;2023-01-08
86;c608d09c-b41c-45a0-bebd-f2b4a4f92771;8952473462;2023-01-16
87;861446e0-8ea4-40e7-be98-b0f76d7d41e8;9520935996;2023-01-04
88;0fc835d9-5f63-4700-9584-6419bc749aa3;79507191221;2023-01-05
89;93348b65-9f2c-4a4b-981c-7a7c403a5ead;9504513576;2023-01-29
90;0b796904-8ac1-4068-b9e5-de5f4f5bdeec;79503086728;2023-01-27
91;37a31b25-a2f3-491c-b59d-36b1ac06e19e;89496932297;2023-01-22
92;84ec1920-e1d8-45ee-baa8-65fa367c31fe;+79496880903;2023-01-18
93;c53bac0c-6cd7-4553-967d-7cb58aa72d72;+79482396939;2023-01-28
94;64ff2747-5766-44bb-aac2-1299eea5d2f1;79471547649;2023-01-18
95;05804fd8-3d9c-4f56-93a7-535af7673722;89469562404;2023-01-04
96;d487b7d3-96ef-49a7-be79-13bf1e353f54;9468645595;2023-01-23
97;477b8964-4397-404c-b5ad-295782c273b4;+79467536315;2023-01-12
98;c3da7514-4606-43e3-af78-e21f3c185f0f;79466598713;2023-01-09
99;264dff0c-fedc-4917-bb2e-920f8aecc79d;+79465793000;2023-01-02
100;091230d3-2d86-4afe-9996-12fd1a2450f8;79457034916;2023-01-02
101;339bf318-4ad7-415b-92dc-90b906913736;79442876759;2023-01-02
102;dd9d8f31-ef6a-4053-8131-9bd59fbc25d5;79438452175;2023-01-23
103;f03fea37-55e3-4c79-9a54-62c05a34f2dc;89431065792;2023-01-31
104;443c5456-dd42-4b09-a6af-f54d54b088d3;+79428748153;2023-01-10
105;5bb74699-b8ab-47a5-a1e7-cd18596d2473;79425336058;2023-01-02
106;b936be93-d81f-46e1-ada5-414a15b05a96;79407871623;2023-01-23
107;a573293a-b425-4ab8-8466-ac0e7d7d8dc9;9405467234;2023-01-23
108;064bcb75-392d-4dc8-923f-dfcad55769d1;+79401301930;2023-01-22
109;63dcf3ae-4f40-4544-bab3-e9884c60a104;8939432727;2023-01-12
110;f516203d-998f-4cee-b7d2-c298b0472305;89392178880;2023-01-16
111;d512bee4-5515-4ac2-b2ca-42579c9846bb;+7939203486;2023-01-08
112;90c22951-ba46-4bb1-b37a-0b7171ad8160;+79391439191;2023-01-12
113;b34bfef2-2648-40db-a521-13bb8c719e79;9389960442;2023-01-10
114;599071a6-104e-45c6-9706-6b9197b6eb02;+79389805632;2023-01-18
115;0af566bb-7c4f-4ee3-b599-2b10c74681f7;89389511656;2023-01-28
116;201c19dd-4fd7-429e-9701-02e985edd3d1;79377546442;2023-01-02
117;e09cc8d9-42cf-424d-9112-f896cb4a3645;9372079311;2023-01-05
